model,dataset,experiment_name,pool_mode,pool_size,num_communities,community_size,sampling_seed,k,total_voting_slots,pool_members,communities,unique_model_count,avg_pairwise_overlap,avg_pairwise_jaccard,baseline,Hits,Epsilon,Alpha,Delta,eligible_support,alpha_reduction,delta_reduction,alpha_recovery_vs_reference,delta_recovery_vs_reference
RotatE,FB15k237,RotatE_FB15k237,first,10,10,2,0,10,20,seed_0;seed_1;seed_10;seed_11;seed_12;seed_13;seed_14;seed_15;seed_16;seed_17,seed_11;seed_14|seed_16;seed_17|seed_11;seed_0|seed_13;seed_10|seed_10;seed_12|seed_1;seed_11|seed_12;seed_13|seed_17;seed_1|seed_10;seed_16|seed_12;seed_15,10,0.28888888888888886,0.0962962962962963,without,0.52097869515419,0.0038600564002990723,0.23848305642604828,0.09254689042448173,24312,0.0,0.0,,
RotatE,FB15k237,RotatE_FB15k237,first,10,10,2,0,10,20,seed_0;seed_1;seed_10;seed_11;seed_12;seed_13;seed_14;seed_15;seed_16;seed_17,seed_11;seed_14|seed_16;seed_17|seed_11;seed_0|seed_13;seed_10|seed_10;seed_12|seed_1;seed_11|seed_12;seed_13|seed_17;seed_1|seed_10;seed_16|seed_12;seed_15,10,0.28888888888888886,0.0962962962962963,major,0.12202677503228188,0.0013436973094940186,0.24829037487506866,0.11520252498684903,5703,-0.04112375359488718,-0.24480168332456614,-0.060007516462091376,-0.3813666550844737
RotatE,FB15k237,RotatE_FB15k237,first,10,10,2,0,10,20,seed_0;seed_1;seed_10;seed_11;seed_12;seed_13;seed_14;seed_15;seed_16;seed_17,seed_11;seed_14|seed_16;seed_17|seed_11;seed_0|seed_13;seed_10|seed_10;seed_12|seed_1;seed_11|seed_12;seed_13|seed_17;seed_1|seed_10;seed_16|seed_12;seed_15,10,0.28888888888888886,0.0962962962962963,borda,0.5218777358531952,0.002687394618988037,0.16804997622966766,0.07076238555660135,23374,0.2953378795621959,0.23538883659907023,0.3680676286745954,0.30283249992374367
RotatE,FB15k237,RotatE_FB15k237,first,10,10,2,0,10,20,seed_0;seed_1;seed_10;seed_11;seed_12;seed_13;seed_14;seed_15;seed_16;seed_17,seed_11;seed_14|seed_16;seed_17|seed_11;seed_0|seed_13;seed_10|seed_10;seed_12|seed_1;seed_11|seed_12;seed_13|seed_17;seed_1|seed_10;seed_16|seed_12;seed_15,10,0.28888888888888886,0.0962962962962963,range,0.5248069882392883,0.0023209452629089355,0.1655578315258026,0.06887581030365063,23448,0.30578786599399027,0.25577391106562036,0.37995028976288125,0.32883909330246885
RotatE,FB15k237,RotatE_FB15k237,first,10,10,4,0,10,40,seed_0;seed_1;seed_10;seed_11;seed_12;seed_13;seed_14;seed_15;seed_16;seed_17,seed_11;seed_10;seed_16;seed_14|seed_10;seed_1;seed_12;seed_17|seed_13;seed_11;seed_16;seed_0|seed_1;seed_17;seed_15;seed_10|seed_14;seed_16;seed_13;seed_12|seed_1;seed_14;seed_12;seed_11|seed_14;seed_11;seed_12;seed_13|seed_16;seed_17;seed_15;seed_1|seed_17;seed_12;seed_0;seed_16|seed_17;seed_0;seed_16;seed_15,10,1.4444444444444444,0.24507936507936504,without,0.52097869515419,0.0038600564002990723,0.23848305642604828,0.09254689042448173,24312,0.0,0.0,,
RotatE,FB15k237,RotatE_FB15k237,first,10,10,4,0,10,40,seed_0;seed_1;seed_10;seed_11;seed_12;seed_13;seed_14;seed_15;seed_16;seed_17,seed_11;seed_10;seed_16;seed_14|seed_10;seed_1;seed_12;seed_17|seed_13;seed_11;seed_16;seed_0|seed_1;seed_17;seed_15;seed_10|seed_14;seed_16;seed_13;seed_12|seed_1;seed_14;seed_12;seed_11|seed_14;seed_11;seed_12;seed_13|seed_16;seed_17;seed_15;seed_1|seed_17;seed_12;seed_0;seed_16|seed_17;seed_0;seed_16;seed_15,10,1.4444444444444444,0.24507936507936504,major,0.1297810971736908,0.0009528100490570068,0.1674557328224182,0.08890057864281957,5703,0.29782964319586824,0.039399614238120245,0.43459109771528365,0.06137906769901152
RotatE,FB15k237,RotatE_FB15k237,first,10,10,4,0,10,40,seed_0;seed_1;seed_10;seed_11;seed_12;seed_13;seed_14;seed_15;seed_16;seed_17,seed_11;seed_10;seed_16;seed_14|seed_10;seed_1;seed_12;seed_17|seed_13;seed_11;seed_16;seed_0|seed_1;seed_17;seed_15;seed_10|seed_14;seed_16;seed_13;seed_12|seed_1;seed_14;seed_12;seed_11|seed_14;seed_11;seed_12;seed_13|seed_16;seed_17;seed_15;seed_1|seed_17;seed_12;seed_0;seed_16|seed_17;seed_0;seed_16;seed_15,10,1.4444444444444444,0.24507936507936504,borda,0.5240032136440277,0.0016613006591796875,0.10689716041088104,0.04661315928735227,22676,0.5517620328552397,0.4963292761803963,0.6876386575496286,0.6385376539630058
RotatE,FB15k237,RotatE_FB15k237,first,10,10,4,0,10,40,seed_0;seed_1;seed_10;seed_11;seed_12;seed_13;seed_14;seed_15;seed_16;seed_17,seed_11;seed_10;seed_16;seed_14|seed_10;seed_1;seed_12;seed_17|seed_13;seed_11;seed_16;seed_0|seed_1;seed_17;seed_15;seed_10|seed_14;seed_16;seed_13;seed_12|seed_1;seed_14;seed_12;seed_11|seed_14;seed_11;seed_12;seed_13|seed_16;seed_17;seed_15;seed_1|seed_17;seed_12;seed_0;seed_16|seed_17;seed_0;seed_16;seed_15,10,1.4444444444444444,0.24507936507936504,range,0.5270399689674378,0.0019788742065429688,0.1054341122508049,0.04543060310771662,22782,0.5578968425226503,0.5091071898867526,0.6932030029551385,0.6545403556548675
RotatE,FB15k237,RotatE_FB15k237,first,10,10,6,0,10,60,seed_0;seed_1;seed_10;seed_11;seed_12;seed_13;seed_14;seed_15;seed_16;seed_17,seed_11;seed_10;seed_16;seed_1;seed_0;seed_14|seed_12;seed_10;seed_15;seed_0;seed_13;seed_17|seed_14;seed_16;seed_13;seed_1;seed_11;seed_0|seed_15;seed_14;seed_13;seed_16;seed_1;seed_10|seed_17;seed_16;seed_11;seed_13;seed_10;seed_12|seed_0;seed_17;seed_16;seed_14;seed_12;seed_11|seed_0;seed_16;seed_15;seed_10;seed_1;seed_13|seed_14;seed_10;seed_16;seed_13;seed_15;seed_1|seed_11;seed_10;seed_14;seed_12;seed_17;seed_16|seed_1;seed_17;seed_10;seed_12;seed_11;seed_15,10,3.466666666666667,0.42529100529100516,without,0.52097869515419,0.0038600564002990723,0.23848305642604828,0.09254689042448173,24312,0.0,0.0,,
RotatE,FB15k237,RotatE_FB15k237,first,10,10,6,0,10,60,seed_0;seed_1;seed_10;seed_11;seed_12;seed_13;seed_14;seed_15;seed_16;seed_17,seed_11;seed_10;seed_16;seed_1;seed_0;seed_14|seed_12;seed_10;seed_15;seed_0;seed_13;seed_17|seed_14;seed_16;seed_13;seed_1;seed_11;seed_0|seed_15;seed_14;seed_13;seed_16;seed_1;seed_10|seed_17;seed_16;seed_11;seed_13;seed_10;seed_12|seed_0;seed_17;seed_16;seed_14;seed_12;seed_11|seed_0;seed_16;seed_15;seed_10;seed_1;seed_13|seed_14;seed_10;seed_16;seed_13;seed_15;seed_1|seed_11;seed_10;seed_14;seed_12;seed_17;seed_16|seed_1;seed_17;seed_10;seed_12;seed_11;seed_15,10,3.466666666666667,0.42529100529100516,major,0.1339147850871086,0.0006840527057647705,0.12028757482767105,0.07452218130808347,5703,0.4956137487068341,0.1947629902390554,0.7231963910040968,0.30341339615398333
