threshold,mapping_type,metric,n,spearman_rho
5,1-1,hits_r,9,0.5272012675161055
5,1-1,alpha_r,9,-0.5424508028966484
5,1-1,delta_r,9,-0.40009056945661187
5,1-N,hits_r,26,-0.34819712122296353
5,1-N,alpha_r,26,0.4461924224995307
5,1-N,delta_r,26,0.4689293971284572
5,M-1,hits_r,72,-0.3212878994260603
5,M-1,alpha_r,72,0.4562738550053082
5,M-1,delta_r,72,0.47229732776454697
5,M-N,hits_r,94,-0.31254423045673485
5,M-N,alpha_r,94,0.13206732922355574
5,M-N,delta_r,94,0.14050194814595743
10,1-1,hits_r,7,0.6666937223947136
10,1-1,alpha_r,7,-0.5559369874958259
10,1-1,delta_r,7,-0.5559369874958259
10,1-N,hits_r,22,-0.37831395479726077
10,1-N,alpha_r,22,0.38796789941728654
10,1-N,delta_r,22,0.4761946053526856
10,M-1,hits_r,63,-0.35055043026848565
10,M-1,alpha_r,63,0.3845285098311285
10,M-1,delta_r,63,0.39914299047904106
10,M-N,hits_r,90,-0.3581690839721868
10,M-N,alpha_r,90,0.15733043179513373
10,M-N,delta_r,90,0.16111245757900858
