threshold,inverse_metric,prediction_metric,n,spearman_rho
0,directional_inverse_strength,hits_r,224,-0.23179984691660496
0,directional_inverse_strength,alpha_r,222,0.1820811650638287
0,directional_inverse_strength,delta_r,222,0.1968475413579442
0,mutual_inverse_strength,hits_r,224,-0.24296311857791283
0,mutual_inverse_strength,alpha_r,222,0.211661315179713
0,mutual_inverse_strength,delta_r,222,0.2041941682657332
0,inverse_clarity,hits_r,224,-0.25048110490423287
0,inverse_clarity,alpha_r,222,0.22159815626803894
0,inverse_clarity,delta_r,222,0.20844709252708277
5,directional_inverse_strength,hits_r,201,-0.2608566992268871
5,directional_inverse_strength,alpha_r,201,0.2579084929296788
5,directional_inverse_strength,delta_r,201,0.27316667641267106
5,mutual_inverse_strength,hits_r,201,-0.24875849681548926
5,mutual_inverse_strength,alpha_r,201,0.2455533217443584
5,mutual_inverse_strength,delta_r,201,0.23911051097203068
5,inverse_clarity,hits_r,201,-0.26025436566886523
5,inverse_clarity,alpha_r,201,0.25941280443666365
5,inverse_clarity,delta_r,201,0.24525169843125366
10,directional_inverse_strength,hits_r,182,-0.28349436033123654
10,directional_inverse_strength,alpha_r,182,0.22487912155841913
10,directional_inverse_strength,delta_r,182,0.2382895733804349
10,mutual_inverse_strength,hits_r,182,-0.2741435137039967
10,mutual_inverse_strength,alpha_r,182,0.22924654007397519
10,mutual_inverse_strength,delta_r,182,0.22118330382231857
10,inverse_clarity,hits_r,182,-0.2795820638700793
10,inverse_clarity,alpha_r,182,0.23978863693349947
10,inverse_clarity,delta_r,182,0.22627688268632004
