threshold,mapping_type,inverse_metric,prediction_metric,n,spearman_rho
5,1-1,directional_inverse_strength,hits_r,9,0.5272012675161055
5,1-1,directional_inverse_strength,alpha_r,9,-0.5424508028966484
5,1-1,directional_inverse_strength,delta_r,9,-0.40009056945661187
5,1-1,mutual_inverse_strength,hits_r,9,0.7142857142857143
5,1-1,mutual_inverse_strength,alpha_r,9,-0.6638838859069907
5,1-1,mutual_inverse_strength,delta_r,9,-0.6924088625102356
5,1-1,inverse_clarity,hits_r,9,0.34309923758984645
5,1-1,inverse_clarity,alpha_r,9,-0.22037063867676338
5,1-1,inverse_clarity,delta_r,9,-0.2468643939200371
5,1-N,directional_inverse_strength,hits_r,26,-0.34819712122296353
5,1-N,directional_inverse_strength,alpha_r,26,0.4461924224995307
5,1-N,directional_inverse_strength,delta_r,26,0.4689293971284572
5,1-N,mutual_inverse_strength,hits_r,26,-0.335774558660969
5,1-N,mutual_inverse_strength,alpha_r,26,0.41878502554010005
5,1-N,mutual_inverse_strength,delta_r,26,0.4396898400199018
5,1-N,inverse_clarity,hits_r,26,-0.3050835217431002
5,1-N,inverse_clarity,alpha_r,26,0.41915045749955915
5,1-N,inverse_clarity,delta_r,26,0.4550406075018934
5,M-1,directional_inverse_strength,hits_r,72,-0.3212878994260603
5,M-1,directional_inverse_strength,alpha_r,72,0.4562738550053082
5,M-1,directional_inverse_strength,delta_r,72,0.47229732776454697
5,M-1,mutual_inverse_strength,hits_r,72,-0.3482560370532986
5,M-1,mutual_inverse_strength,alpha_r,72,0.4570452677269432
5,M-1,mutual_inverse_strength,delta_r,72,0.4613372658457894
5,M-1,inverse_clarity,hits_r,72,-0.35470894754831833
5,M-1,inverse_clarity,alpha_r,72,0.4529198866503736
5,M-1,inverse_clarity,delta_r,72,0.44102718935976737
5,M-N,directional_inverse_strength,hits_r,94,-0.31254423045673485
5,M-N,directional_inverse_strength,alpha_r,94,0.13206732922355574
5,M-N,directional_inverse_strength,delta_r,94,0.14050194814595743
5,M-N,mutual_inverse_strength,hits_r,94,-0.29649416165772924
5,M-N,mutual_inverse_strength,alpha_r,94,0.12289043244756659
5,M-N,mutual_inverse_strength,delta_r,94,0.11615482918256007
5,M-N,inverse_clarity,hits_r,94,-0.3143250662660926
5,M-N,inverse_clarity,alpha_r,94,0.14878805710181672
5,M-N,inverse_clarity,delta_r,94,0.12868776649710595
10,1-1,directional_inverse_strength,hits_r,7,0.6666937223947136
10,1-1,directional_inverse_strength,alpha_r,7,-0.5559369874958259
10,1-1,directional_inverse_strength,delta_r,7,-0.5559369874958259
10,1-1,mutual_inverse_strength,hits_r,7,0.7454545454545455
10,1-1,mutual_inverse_strength,alpha_r,7,-0.4861724348043977
10,1-1,mutual_inverse_strength,delta_r,7,-0.4861724348043977
10,1-1,inverse_clarity,hits_r,7,0.4504687313477795
10,1-1,inverse_clarity,alpha_r,7,-0.2594372608313854
10,1-1,inverse_clarity,delta_r,7,-0.2594372608313854
10,1-N,directional_inverse_strength,hits_r,22,-0.37831395479726077
10,1-N,directional_inverse_strength,alpha_r,22,0.38796789941728654
10,1-N,directional_inverse_strength,delta_r,22,0.4761946053526856
10,1-N,mutual_inverse_strength,hits_r,22,-0.3553858363246995
10,1-N,mutual_inverse_strength,alpha_r,22,0.3927948717272995
10,1-N,mutual_inverse_strength,delta_r,22,0.46774501793197887
10,1-N,inverse_clarity,hits_r,22,-0.3288374886196286
10,1-N,inverse_clarity,alpha_r,22,0.4000353301923188
10,1-N,inverse_clarity,delta_r,22,0.493093780194099
10,M-1,directional_inverse_strength,hits_r,63,-0.35055043026848565
10,M-1,directional_inverse_strength,alpha_r,63,0.3845285098311285
10,M-1,directional_inverse_strength,delta_r,63,0.39914299047904106
10,M-1,mutual_inverse_strength,hits_r,63,-0.38384643887821635
10,M-1,mutual_inverse_strength,alpha_r,63,0.39491030198385496
10,M-1,mutual_inverse_strength,delta_r,63,0.39676743860851144
10,M-1,inverse_clarity,hits_r,63,-0.3816350813252682
10,M-1,inverse_clarity,alpha_r,63,0.38774611127313574
10,M-1,inverse_clarity,delta_r,63,0.36547048539359733
10,M-N,directional_inverse_strength,hits_r,90,-0.3581690839721868
10,M-N,directional_inverse_strength,alpha_r,90,0.15733043179513373
10,M-N,directional_inverse_strength,delta_r,90,0.16111245757900858
10,M-N,mutual_inverse_strength,hits_r,90,-0.33856723131560545
10,M-N,mutual_inverse_strength,alpha_r,90,0.14578792829770018
10,M-N,mutual_inverse_strength,delta_r,90,0.13915357398434283
10,M-N,inverse_clarity,hits_r,90,-0.3453009394035254
10,M-N,inverse_clarity,alpha_r,90,0.16392203288689466
10,M-N,inverse_clarity,delta_r,90,0.1517535486173859
