threshold,side,metric,mapping_type,n,mean,median,p25,p75,min,max
5,head,hits_r,1-1,9,0.6143161772735535,0.699999988079071,0.3333333411387035,0.9553571428571429,0.0997304597071239,1.0
5,head,hits_r,1-N,26,0.759153073305612,0.838645419904164,0.5435719873223985,0.9823203022990907,0.3151125354426248,1.0
5,head,hits_r,M-1,72,0.26864386190538336,0.1719114264207227,0.09872939836766038,0.3459512788270201,0.0,1.0
5,head,hits_r,M-N,94,0.5962566295185758,0.647190272808075,0.3403230373348508,0.8948170585291726,0.0,1.0
5,head,alpha_r,1-1,9,0.4057033136487007,0.25,0.0,0.800000011920929,0.0,1.0
5,head,alpha_r,1-N,26,0.19152571003024393,0.06828703731298447,0.0,0.35606061667203903,0.0,0.7142857313156128
5,head,alpha_r,M-1,69,0.599287171240734,0.6666666865348816,0.4285714328289032,0.800000011920929,0.0,1.0
5,head,alpha_r,M-N,92,0.33789096289800236,0.26001252233982086,0.1320512890815735,0.5376794189214706,0.0,1.0
5,head,delta_r,1-1,9,0.2779255319148936,0.25,0.0,0.4375,0.0,0.75
5,head,delta_r,1-N,26,0.12076804074043257,0.06828703703703703,0.0,0.22023809523809523,0.0,0.5714285714285714
5,head,delta_r,M-1,69,0.3994172717389437,0.4,0.2777777777777778,0.5,0.0,1.0
5,head,delta_r,M-N,92,0.2023559781550383,0.15384615384615385,0.07322627037392138,0.2822931785195936,0.0,1.0
5,tail,hits_r,1-1,9,0.6067300202354553,0.699999988079071,0.3376623477254595,0.8869047590664455,0.005390835659844535,1.0
5,tail,hits_r,1-N,26,0.22319195615537055,0.15714286108102116,0.07779900995748384,0.2906201066715377,0.0,0.7428571539265769
5,tail,hits_r,M-1,72,0.8133701533374805,0.9047330617904663,0.6872710755893162,1.0,0.22040816715785436,1.0
5,tail,hits_r,M-N,94,0.6290455645907069,0.6909855008125305,0.36577457615307396,0.9256261651005063,0.07373271669660296,1.0
5,tail,alpha_r,1-1,9,0.31060606406794655,0.25,0.0,0.5,0.0,1.0
5,tail,alpha_r,1-N,25,0.5245971262454987,0.5517241358757019,0.3333333432674408,0.75,0.0,1.0
5,tail,alpha_r,M-1,72,0.1281926988546426,0.029492283705621958,0.0,0.19285714626312256,0.0,0.75
5,tail,alpha_r,M-N,94,0.26515875368359243,0.2222222238779068,0.04467855300754309,0.42605511099100113,0.0,1.0
5,tail,delta_r,1-1,9,0.21893939393939393,0.125,0.0,0.4,0.0,0.5
5,tail,delta_r,1-N,25,0.3726544066943341,0.3333333333333333,0.22727272727272727,0.5,0.0,1.0
5,tail,delta_r,M-1,72,0.0916890700122322,0.016560374149659864,0.0,0.15857712765957446,0.0,0.75
5,tail,delta_r,M-N,94,0.16417221684142208,0.13257575757575757,0.02379106681432263,0.2424506387921022,0.0,1.0
10,head,hits_r,1-1,7,0.6664142842803683,0.7539682388305664,0.42792207428387236,0.9776785714285714,0.0997304597071239,1.0
10,head,hits_r,1-N,22,0.7527003849481608,0.8638555024351393,0.5202305316925049,0.9823203022990907,0.3151125354426248,1.0
10,head,hits_r,M-1,63,0.28364395073460846,0.17582417918103083,0.09945055097341537,0.3476230864013944,0.013859274863664593,1.0
10,head,hits_r,M-N,90,0.5971175942185616,0.647190272808075,0.3403230373348508,0.8973369768687658,0.0,1.0
10,head,alpha_r,1-1,7,0.3216185410107885,0.06382978707551956,0.0,0.59375,0.0,1.0
10,head,alpha_r,1-N,22,0.19388103315776045,0.11327022314071655,0.0,0.35606061667203903,0.0,0.5925925970077515
10,head,alpha_r,M-1,63,0.5854626685262673,0.6666666865348816,0.4065934121608734,0.7817460298538208,0.0,1.0
10,head,alpha_r,M-N,88,0.33655591955704783,0.2526595741510391,0.12801659852266312,0.5376794189214706,0.0,1.0
10,head,delta_r,1-1,7,0.2144756838905775,0.06382978723404255,0.0,0.34375,0.0,0.75
10,head,delta_r,1-N,22,0.11675184035557616,0.07739578143165587,0.0,0.22023809523809523,0.0,0.3333333333333333
10,head,delta_r,M-1,63,0.38348875793630344,0.4,0.27350427350427353,0.5,0.0,1.0
10,head,delta_r,M-N,88,0.19940570876381714,0.14459930313588848,0.0695970695970696,0.27884615384615385,0.0,1.0
10,tail,hits_r,1-1,7,0.6770688179804355,0.8095237953322274,0.5188311679022652,0.9434523795332228,0.005390835659844535,1.0
10,tail,hits_r,1-N,22,0.21040960216846366,0.15714286108102116,0.07779900995748384,0.27422578632831573,0.013677811117044516,0.6875
10,tail,hits_r,M-1,63,0.8250775321000288,0.9236641015325274,0.7557823147092546,1.0,0.22040816715785436,1.0
10,tail,hits_r,M-N,90,0.6312976778381401,0.6909855008125305,0.36577457615307396,0.9256261651005063,0.07373271669660296,1.0
10,tail,alpha_r,1-1,7,0.2422077932528087,0.04545454680919647,0.0,0.32500000298023224,0.0,1.0
10,tail,alpha_r,1-N,22,0.5234058241952549,0.5390199720859528,0.3333333432674408,0.7291666716337204,0.0,1.0
10,tail,alpha_r,M-1,63,0.10757925924623296,0.010204081423580647,0.0,0.1830357164144516,0.0,0.6875
10,tail,alpha_r,M-N,90,0.26459790815909706,0.2229532152414322,0.04590006358921528,0.42605511099100113,0.0,1.0
10,tail,delta_r,1-1,7,0.15292207792207793,0.045454545454545456,0.0,0.2625,0.0,0.5
10,tail,delta_r,1-N,22,0.3658951591223493,0.3333333333333333,0.22814685314685315,0.475,0.0,1.0
10,tail,delta_r,M-1,63,0.07313595907671586,0.01020408163265306,0.0,0.1213235294117647,0.0,0.375
10,tail,delta_r,M-N,90,0.15912308079980628,0.13572701807995927,0.027522195318805488,0.2424506387921022,0.0,1.0
