model,dataset,baseline,relation_id,relation_name,mapping_type,side,test_support,side_support,eligible_support,hits_r,alpha_r,delta_r
RotatE,FB15k237,without,0,/location/country/form_of_government,M-N,head,43,43,20,0.3156146194253649,0.6499999761581421,0.45
RotatE,FB15k237,without,1,/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor,1-N,head,91,91,43,0.36891680530139376,0.39534884691238403,0.27906976744186046
RotatE,FB15k237,without,2,/media_common/netflix_genre/titles,M-N,head,124,124,101,0.764976944242205,0.09900990128517151,0.04950495049504951
RotatE,FB15k237,without,3,/award/award_winner/awards_won./award/award_honor/award_winner,M-N,head,41,41,25,0.5574912939752851,0.1599999964237213,0.12
RotatE,FB15k237,without,4,/soccer/football_team/current_roster./sports/sports_team_roster/position,M-N,head,12,12,0,0.0,,
RotatE,FB15k237,without,5,/soccer/football_team/current_roster./soccer/football_roster_position/position,M-N,head,10,10,0,0.0,,
RotatE,FB15k237,without,6,/film/actor/film./film/performance/film,M-N,head,836,836,134,0.11500341870955058,0.5149253606796265,0.2835820895522388
RotatE,FB15k237,without,7,/award/award_category/nominees./award/award_nomination/nominated_for,M-N,head,858,858,679,0.7276057260377067,0.18409425020217896,0.09425625920471281
RotatE,FB15k237,without,8,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,M-N,head,214,214,180,0.7803738287517002,0.15000000596046448,0.08888888888888889
RotatE,FB15k237,without,9,/music/performance_role/regular_performances./music/group_membership/role,M-N,head,40,40,18,0.29999999914850506,0.6111111044883728,0.3333333333333333
RotatE,FB15k237,without,10,/award/award_category/winners./award/award_honor/ceremony,M-N,head,323,323,306,0.9049093297549656,0.12745098769664764,0.05228758169934641
RotatE,FB15k237,without,11,/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium,M-1,head,158,158,28,0.04972875118255615,1.0,0.5357142857142857
RotatE,FB15k237,without,12,/award/award_winning_work/awards_won./award/award_honor/award_winner,M-N,head,24,24,13,0.4702381023338863,0.23076923191547394,0.15384615384615385
RotatE,FB15k237,without,13,/film/film/release_date_s./film/film_regional_release_date/film_release_region,M-N,head,1447,1447,850,0.4013229353087289,0.6141176223754883,0.26941176470588235
RotatE,FB15k237,without,14,/film/film/language,M-N,head,314,314,163,0.3785259297915867,0.546012282371521,0.25766871165644173
RotatE,FB15k237,without,15,/location/location/contains,M-N,head,330,330,264,0.7043289967945644,0.2651515007019043,0.10606060606060606
RotatE,FB15k237,without,16,/organization/organization/headquarters./location/mailing_address/country,M-1,head,7,7,3,0.10204082088811058,1.0,0.6666666666666666
RotatE,FB15k237,without,17,/people/person/profession,M-N,head,1311,1311,357,0.1933093603168215,0.5070028305053711,0.24369747899159663
RotatE,FB15k237,without,18,/location/statistical_region/religions./location/religion_percentage/religion,M-N,head,60,60,47,0.6952380963734218,0.25531914830207825,0.2127659574468085
RotatE,FB15k237,without,19,/award/award_nominee/award_nominations./award/award_nomination/award,M-N,head,1067,1067,303,0.22171642737729208,0.4653465449810028,0.20462046204620463
RotatE,FB15k237,without,20,/music/genre/artists,M-N,head,664,664,515,0.712349397795541,0.1553398072719574,0.05825242718446602
RotatE,FB15k237,without,21,/influence/influence_node/influenced_by,M-N,head,235,235,114,0.3446808542524065,0.5350877046585083,0.2719298245614035
RotatE,FB15k237,without,22,/education/educational_institution/students_graduates./education/education/student,1-N,head,311,311,133,0.3151125354426248,0.5037593841552734,0.2706766917293233
RotatE,FB15k237,without,23,/organization/organization_member/member_of./organization/organization_membership/organization,M-N,head,96,96,76,0.7306547590664455,0.17105263471603394,0.09210526315789473
RotatE,FB15k237,without,24,/people/person/place_of_birth,M-1,head,170,170,10,0.040336135774850845,0.699999988079071,0.5
RotatE,FB15k237,without,25,/common/topic/webpage./common/webpage/category,M-1,head,402,402,15,0.013859274863664593,1.0,0.6
RotatE,FB15k237,without,26,/film/film/other_crew./film/film_crew_gig/film_crew_role,M-N,head,606,606,153,0.14757190218993596,0.7320261597633362,0.37254901960784315
RotatE,FB15k237,without,27,/award/award_ceremony/awards_presented./award/award_honor/award_winner,M-N,head,317,317,238,0.6511942233358111,0.2647058963775635,0.13025210084033614
RotatE,FB15k237,without,28,/film/film/country,M-1,head,131,131,28,0.12758996656962804,0.6785714030265808,0.35714285714285715
RotatE,FB15k237,without,29,/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country,M-N,head,258,258,230,0.831118472984859,0.19130434095859528,0.09130434782608696
RotatE,FB15k237,without,30,/award/award_winning_work/awards_won./award/award_honor/award,M-N,head,118,118,42,0.27845036131995066,0.4523809552192688,0.23809523809523808
RotatE,FB15k237,without,31,/film/film/genre,M-N,head,722,722,162,0.15967550660882676,0.5,0.25308641975308643
RotatE,FB15k237,without,32,/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film,M-N,head,160,160,137,0.7651785612106323,0.23357664048671722,0.11678832116788321
