threshold,side,bucket,mapping_type,n,log_train_frequency_mean,train_frequency_mean,test_support_mean,hits_r_mean,hits_r_median,alpha_r_mean,alpha_r_median,delta_r_mean,delta_r_median
5,head,low_frequency,1-1,5,4.91531349105148,137.8,11.0,0.49475159857954304,0.5306122643607003,0.5300000071525574,0.6000000238418579,0.4,0.4
5,head,low_frequency,1-N,14,4.884094149369541,135.85714285714286,13.857142857142858,0.8240474030679587,0.9083269834518433,0.12510793044098786,0.0,0.09410321821036106,0.0
5,head,low_frequency,M-1,29,5.035336952557505,159.48275862068965,15.241379310344827,0.3517168758005784,0.27472528176648275,0.4854476494645631,0.5,0.36238271256387194,0.3333333333333333
5,head,low_frequency,M-N,19,5.100888133568726,171.05263157894737,19.94736842105263,0.7133400515282066,0.7815126180648804,0.27999313803095566,0.1875,0.20020968319780408,0.11764705882352941
5,head,mid_frequency,1-1,4,6.120989461475297,462.25,31.75,0.7637719006410667,0.9776785714285714,0.2503324467688799,0.03191489353775978,0.12533244680851063,0.031914893617021274
5,head,mid_frequency,1-N,8,6.0826293001267935,475.0,53.375,0.7863904887012073,0.86050061242921,0.23040618607774377,0.17989418655633926,0.12122972926544354,0.08805744520030234
5,head,mid_frequency,M-1,25,6.019238643839745,433.52,35.76,0.261083743540304,0.16849817229168756,0.6322916001081467,0.7071428596973419,0.43280789460137287,0.4222222222222222
5,head,mid_frequency,M-N,30,6.210590856089493,524.7333333333333,38.8,0.6652290387123467,0.6819047672407967,0.32024741352846225,0.2705167233943939,0.20211008103332823,0.150093808630394
5,head,high_frequency,1-N,4,7.354344506675886,1708.5,168.0,0.4775480883462089,0.3874659218958446,0.3462269864976406,0.3643410950899124,0.2131715425456609,0.24644945697577275
5,head,high_frequency,M-1,18,7.324219908718421,1792.2777777777778,175.05555555555554,0.14530417058129041,0.1250194731567587,0.7260405487484403,0.7543103396892548,0.41044828001831246,0.40454545454545454
5,head,high_frequency,M-N,45,7.965714132731433,4029.8444444444444,286.73333333333335,0.5008398007631064,0.548996457031795,0.37578317577149284,0.3255814015865326,0.20347589717454423,0.18518518518518517
