threshold,bucket,n,symmetry_score_mean,self_loop_count_mean,test_support_mean,train_support_mean,hits_r_mean,hits_r_median,alpha_r_mean,alpha_r_median,delta_r_mean,delta_r_median
0,zero,193,0.0,0.0,88.91709844559585,1032.3626943005181,0.5698359205168185,0.53125,0.2291463818578252,0.19886630028486252,0.13809852487626645,0.11782974059188893
0,"(0,0.1]",13,0.01372000721698467,2.6153846153846154,203.84615384615384,2237.153846153846,0.4702559221713316,0.4548306869609015,0.3547580825785796,0.3121311515569687,0.20339464597386256,0.1593237704918033
0,"(0.1,0.3]",2,0.11268105121696281,18.5,11.0,164.5,0.9964285748345512,0.9964285748345512,0.012500000186264515,0.012500000186264515,0.0125,0.0125
0,"(0.3,1.0]",29,0.8032852377930921,53.58620689655172,21.82758620689655,1498.5172413793102,0.5676721328496933,0.6168831161090306,0.3692303226950268,0.21449335664510727,0.26356308765441433,0.13291900561347234
5,zero,171,0.0,0.0,100.14035087719299,1132.0526315789473,0.5685916319116017,0.5336927175521851,0.24120624321757964,0.2142857164144516,0.1432366193600372,0.12389380530973451
5,"(0,0.1]",11,0.014608920858844536,2.6363636363636362,240.63636363636363,2596.3636363636365,0.46755191509599814,0.4183673518044608,0.38700881735845044,0.3442623019218445,0.22188506833512278,0.1875
5,"(0.1,0.3]",1,0.11486486486486487,17.0,20.0,148.0,0.9928571496691022,0.9928571496691022,0.02500000037252903,0.02500000037252903,0.025,0.025
5,"(0.3,1.0]",18,0.7980213654650716,86.33333333333333,34.27777777777778,2269.1111111111113,0.6356557400690185,0.6756302544048854,0.32564043026003575,0.21449335664510727,0.2125285613169969,0.13291900561347234
10,zero,155,0.0,0.0,109.66451612903226,1227.0967741935483,0.5748209864793835,0.5371428685528892,0.2323794478580596,0.20000000298023224,0.1358022073641716,0.11553784860557768
10,"(0,0.1]",9,0.010186859556074103,1.1111111111111112,292.6666666666667,3128.3333333333335,0.49189829589828615,0.49129402211734224,0.32486263083087075,0.2800000011920929,0.16934100944663155,0.13114754098360656
10,"(0.1,0.3]",1,0.11486486486486487,17.0,20.0,148.0,0.9928571496691022,0.9928571496691022,0.02500000037252903,0.02500000037252903,0.025,0.025
10,"(0.3,1.0]",17,0.7964680645561917,91.41176470588235,35.88235294117647,2394.8823529411766,0.6460364497258884,0.699999988079071,0.31211600956671376,0.1964285671710968,0.1988864505447941,0.12790697674418605
