threshold,mapping_type,metric,n,spearman_rho
5,1-1,hits_r,9,0.45769286494404704
5,1-1,alpha_r,9,-0.3046358979224712
5,1-1,delta_r,9,-0.2175970699446223
5,1-N,hits_r,26,-0.4694997909459686
5,1-N,alpha_r,26,0.4950756550441926
5,1-N,delta_r,26,0.6282849833700841
5,M-1,hits_r,72,-0.3778053388785448
5,M-1,alpha_r,72,0.4417114555550208
5,M-1,delta_r,72,0.5410621820218895
5,M-N,hits_r,94,-0.2948829618231782
5,M-N,alpha_r,93,0.056651869743304
5,M-N,delta_r,93,0.014461808195664594
10,1-1,hits_r,7,0.5188745216627708
10,1-1,alpha_r,7,-0.39405520311955033
10,1-1,delta_r,7,-0.23643312187173018
10,1-N,hits_r,22,-0.43865110867242196
10,1-N,alpha_r,22,0.48330060254004126
10,1-N,delta_r,22,0.6462109180029766
10,M-1,hits_r,63,-0.3968884226279901
10,M-1,alpha_r,63,0.46502166854222193
10,M-1,delta_r,63,0.567632082530088
10,M-N,hits_r,90,-0.3391388364159667
10,M-N,alpha_r,89,0.09144061119367576
10,M-N,delta_r,89,0.06332528144397796
