threshold,side,metric,mapping_type,n,mean,median,p25,p75,min,max
5,head,hits_r,1-1,9,0.591822085872529,0.699999988079071,0.23809524306229182,1.0,0.05929919225828988,1.0
5,head,hits_r,1-N,26,0.7606461750609536,0.8660714328289032,0.5575780549219677,1.0,0.2912264551435198,1.0
5,head,hits_r,M-1,72,0.23115668361470665,0.15249360725283623,0.05757426916222487,0.2867346970098359,0.0,0.9785714234624591
5,head,hits_r,M-N,94,0.5763720751224839,0.6201814242771693,0.3092798782246453,0.8816964285714286,0.0,1.0
5,head,alpha_r,1-1,9,0.38265670008129543,0.1875,0.0,0.6666666865348816,0.0,1.0
5,head,alpha_r,1-N,26,0.2277489583222912,0.13651315867900848,0.0,0.45202021300792694,0.0,0.6643356680870056
5,head,alpha_r,M-1,68,0.750912120401421,0.8164983093738556,0.6666666865348816,1.0,0.0,1.0
5,head,alpha_r,M-N,91,0.4415273952942628,0.42084941267967224,0.20000000298023224,0.7067147791385651,0.0,1.0
5,head,delta_r,1-1,9,0.21474358974358973,0.125,0.0,0.3333333333333333,0.0,0.6666666666666666
5,head,delta_r,1-N,26,0.13391732047854885,0.08388157894736842,0.0,0.2575,0.0,0.38461538461538464
5,head,delta_r,M-1,68,0.5010857761747943,0.5,0.34195402298850575,0.6666666666666666,0.0,1.0
5,head,delta_r,M-N,91,0.25849400425033153,0.24193548387096775,0.11909581646423752,0.36257861635220123,0.0,1.0
5,tail,hits_r,1-1,9,0.6018450882226701,0.699999988079071,0.30158730489867075,1.0,0.026954178299222673,1.0
5,tail,hits_r,1-N,26,0.17337209420217264,0.13814757019281387,0.059723293342228444,0.2509276505027499,0.0,0.5630252318722861
5,tail,hits_r,M-1,72,0.8049597958960231,0.8866591666425978,0.6166056202990668,1.0,0.2734693991286414,1.0
5,tail,hits_r,M-N,94,0.6047682641668524,0.6614596715995243,0.28167755422847607,0.9215899791036333,0.0,1.0
5,tail,alpha_r,1-1,9,0.35773421327273053,0.3529411852359772,0.0,0.6000000238418579,0.0,1.0
5,tail,alpha_r,1-N,25,0.7389229673147202,0.8571428656578064,0.6000000238418579,1.0,0.0,1.0
5,tail,alpha_r,M-1,72,0.19565570031085777,0.0833333358168602,0.0,0.3629385903477669,0.0,0.7333333492279053
5,tail,alpha_r,M-N,93,0.39045667220708186,0.3552338480949402,0.0731707289814949,0.6988636255264282,0.0,1.0
5,tail,delta_r,1-1,9,0.29106753812636166,0.35294117647058826,0.0,0.6,0.0,0.6666666666666666
5,tail,delta_r,1-N,25,0.5044440255085416,0.42857142857142855,0.4,0.6,0.0,1.0
5,tail,delta_r,M-1,72,0.12578806614113675,0.07948179271708683,0.0,0.2631578947368421,0.0,0.4666666666666667
5,tail,delta_r,M-N,93,0.2282378892125758,0.2,0.05128205128205128,0.35714285714285715,0.0,1.0
10,head,hits_r,1-1,7,0.6860841762046425,0.8095238123621259,0.4668831144060407,1.0,0.05929919225828988,1.0
10,head,hits_r,1-N,22,0.7455363883213564,0.845021665096283,0.5058555326291493,1.0,0.2912264551435198,1.0
