threshold,metric,mapping_type,n,mean,median,p25,p75,min,max
5,hits_r,1-1,9,0.5968335862197574,0.699999988079071,0.26984127717358725,1.0,0.04312668527875628,1.0
5,hits_r,1-N,26,0.4670091316431434,0.4687500021287373,0.33302411862782066,0.5462962942464011,0.1635277909891946,0.7478991661752973
5,hits_r,M-1,72,0.5180582400884419,0.510919458099774,0.40543752163648605,0.5738636425563267,0.17551020852157048,0.9892857245036534
5,hits_r,M-N,94,0.5905701682299919,0.5757478518145425,0.42879424882786615,0.7840986422130041,0.0,1.0
5,alpha_r,1-1,9,0.36517957515186733,0.27272728085517883,0.0,0.6666666865348816,0.0,0.9444444179534912
5,alpha_r,1-N,26,0.34375666740995187,0.33712121844291687,0.16264204680919647,0.5076470449566841,0.0517241396009922,0.7126436829566956
5,alpha_r,M-1,72,0.31626808886519736,0.27619048953056335,0.15101567655801773,0.4385869428515434,0.0,0.761904776096344
5,alpha_r,M-N,93,0.3622900080035931,0.3448275923728943,0.20000000298023224,0.5,0.0,0.8888888955116272
5,delta_r,1-1,9,0.22109988776655443,0.21212121212121213,0.0,0.3888888888888889,0.0,0.5555555555555556
5,delta_r,1-N,26,0.2064714767259462,0.21825396825396826,0.10105774728416239,0.2693965517241379,0.034482758620689655,0.5
5,delta_r,M-1,72,0.19448076131724754,0.171777950310559,0.09980916030534351,0.28272439585730724,0.0,0.5238095238095238
5,delta_r,M-N,93,0.20038885893277056,0.1875,0.11864406779661017,0.2658959537572254,0.0,0.75
10,hits_r,1-1,7,0.6938232907227108,0.8214285629136222,0.4961038934332984,1.0,0.04312668527875628,1.0
10,hits_r,1-N,22,0.45979325966788576,0.47277432680130005,0.31353139558008736,0.5462962942464011,0.1635277909891946,0.7478991661752973
10,hits_r,M-1,63,0.5309410510487568,0.5208212988717216,0.4285714285714286,0.5982767258371626,0.17551020852157048,0.9892857245036534
10,hits_r,M-N,90,0.5914429516073257,0.5611192882061005,0.42879424882786615,0.7840986422130041,0.0,1.0
10,alpha_r,1-1,7,0.2849927842617035,0.0,0.0,0.5252525359392166,0.0,0.9444444179534912
10,alpha_r,1-N,22,0.33087909187782893,0.31331169605255127,0.14881859347224236,0.5076470449566841,0.0517241396009922,0.7126436829566956
10,alpha_r,M-1,63,0.312727903385484,0.2666666805744171,0.15355174243450165,0.4336075186729431,0.02500000037252903,0.761904776096344
10,alpha_r,M-N,89,0.35713075728187066,0.3448275923728943,0.19498607516288757,0.48571428656578064,0.0,0.8888888955116272
10,delta_r,1-1,7,0.16522366522366522,0.0,0.0,0.3005050505050505,0.0,0.5555555555555556
10,delta_r,1-N,22,0.18845618966601724,0.20116731517509728,0.08127721335268506,0.2676108374384236,0.034482758620689655,0.35294117647058826
10,delta_r,M-1,63,0.18544714873646626,0.16666666666666666,0.09961832061068703,0.2626186906546727,0.01680672268907563,0.5238095238095238
10,delta_r,M-N,89,0.1925144149254687,0.1872146118721461,0.11750599520383694,0.24489795918367346,0.0,0.6666666666666666
