threshold,side,bucket,mapping_type,n,log_train_frequency_mean,train_frequency_mean,test_support_mean,hits_r_mean,hits_r_median,alpha_r_mean,alpha_r_median,delta_r_mean,delta_r_median
5,head,low_frequency,1-1,5,4.91531349105148,137.8,11.0,0.4534199161188943,0.2857142963579723,0.5041666746139526,0.6666666865348816,0.325,0.3333333333333333
5,head,low_frequency,1-N,14,4.884094149369541,135.85714285714286,13.857142857142858,0.8413200168585291,0.9209320247173309,0.1590626689472369,0.01923076994717121,0.10774790685504972,0.019230769230769232
5,head,low_frequency,M-1,29,5.035336952557505,159.48275862068965,15.241379310344827,0.32050676713582915,0.1642857167337622,0.6408426164147946,0.7083333432674408,0.49733482097612536,0.5277777777777778
5,head,low_frequency,M-N,19,5.100888133568726,171.05263157894737,19.94736842105263,0.6708701850104153,0.7687074967793056,0.4220076658223805,0.375,0.30663882159877587,0.25
5,head,mid_frequency,1-1,4,6.120989461475297,462.25,31.75,0.7648247980645725,1.0,0.23076923191547394,0.0,0.07692307692307693,0.0
5,head,mid_frequency,1-N,8,6.0826293001267935,475.0,53.375,0.7805112759981837,0.8097228876182012,0.21679027820937335,0.11613272409886122,0.11399077349491267,0.06350114416475972
5,head,mid_frequency,M-1,25,6.019238643839745,433.52,35.76,0.215663673132658,0.15126050689390727,0.8016095217317343,0.8590908944606781,0.5340607116648783,0.5268065268065267
5,head,mid_frequency,M-N,30,6.210590856089493,524.7333333333333,38.8,0.65397846630464,0.6919642857142857,0.4032035599773129,0.41461412608623505,0.2569289613474342,0.2403846153846154
5,head,high_frequency,1-N,4,7.354344506675886,1708.5,168.0,0.4385575268949782,0.3456167919295175,0.49006833136081696,0.5122222155332565,0.265363362128068,0.2803496503496503
5,head,high_frequency,M-1,18,7.324219908718421,1792.2777777777778,175.05555555555554,0.10872184138907683,0.09123771078884602,0.8423048688305749,0.9128788113594055,0.46253724191942575,0.44742063492063494
5,head,high_frequency,M-N,45,7.965714132731433,4029.8444444444444,286.73333333333335,0.4847352790483643,0.5119047633239201,0.47773191718650715,0.4306627959012985,0.2378320937138189,0.20543758043758042
5,tail,low_frequency,1-1,5,4.91531349105148,137.8,11.0,0.47793032314096184,0.35064936109951567,0.4439215838909149,0.6000000238418579,0.403921568627451,0.4
5,tail,low_frequency,1-N,14,4.884094149369541,135.85714285714286,13.857142857142858,0.24537574157727013,0.19160997920802664,0.6305860865574616,0.7142857313156128,0.5009157509157508,0.4
5,tail,low_frequency,M-1,29,5.035336952557505,159.48275862068965,15.241379310344827,0.8174934704315487,0.8571428656578064,0.1747431236094442,0.0833333358168602,0.11494252873563218,0.08333333333333333
5,tail,low_frequency,M-N,19,5.100888133568726,171.05263157894737,19.94736842105263,0.7445007475807255,0.8714285663196019,0.26248091812196533,0.1111111119389534,0.19227871845839178,0.1
