threshold,side,mapping_type,prediction_metric,n,spearman_rho
5,head,1-1,hits_r,9,0.5594023904871686
5,head,1-1,alpha_r,9,-0.3672361438109012
5,head,1-1,delta_r,9,-0.49612131947373883
5,head,1-N,hits_r,26,-0.4382067364168286
5,head,1-N,alpha_r,26,0.44212636559103385
5,head,1-N,delta_r,26,0.39256387598040593
5,head,M-1,hits_r,72,-0.34894434819884346
5,head,M-1,alpha_r,68,0.19045534699301342
5,head,M-1,delta_r,68,-0.06076668948088236
5,head,M-N,hits_r,94,-0.30089679261437996
5,head,M-N,alpha_r,91,0.13352295487064283
5,head,M-N,delta_r,91,-0.004807980043048555
5,tail,1-1,hits_r,9,0.6272087408492496
5,tail,1-1,alpha_r,9,-0.38472357923046796
5,tail,1-1,delta_r,9,-0.4634170386185182
5,tail,1-N,hits_r,26,-0.4175072723013307
5,tail,1-N,alpha_r,25,0.08766737201305651
5,tail,1-N,delta_r,25,-0.047150308648787
5,tail,M-1,hits_r,72,-0.009240060540461118
5,tail,M-1,alpha_r,72,0.07039774550913631
5,tail,M-1,delta_r,72,0.030786194878322265
5,tail,M-N,hits_r,94,-0.2522402100685079
5,tail,M-N,alpha_r,93,0.15644638238925704
5,tail,M-N,delta_r,93,0.1030026746092071
10,head,1-1,hits_r,7,0.7041868508280461
10,head,1-1,alpha_r,7,-0.4531634835874829
10,head,1-1,delta_r,7,-0.4531634835874829
10,head,1-N,hits_r,22,-0.49748243879506876
10,head,1-N,alpha_r,22,0.5149003472959583
10,head,1-N,delta_r,22,0.43692700304636634
10,head,M-1,hits_r,63,-0.46820920240981206
10,head,M-1,alpha_r,63,0.20972288816360024
10,head,M-1,delta_r,63,-0.032730201578421644
10,head,M-N,hits_r,90,-0.31331333430226227
10,head,M-N,alpha_r,87,0.17259459235002472
10,head,M-N,delta_r,87,0.044706723928239156
10,tail,1-1,hits_r,7,0.7041868508280461
10,tail,1-1,alpha_r,7,-0.3743524429635728
10,tail,1-1,delta_r,7,-0.4183300132670378
10,tail,1-N,hits_r,22,-0.5821569734613213
10,tail,1-N,alpha_r,22,0.30147457951687184
10,tail,1-N,delta_r,22,0.24702272218197247
10,tail,M-1,hits_r,63,-0.09788665968336417
10,tail,M-1,alpha_r,63,0.14115254059259016
10,tail,M-1,delta_r,63,0.12073609191429974
10,tail,M-N,hits_r,90,-0.253477604085908
10,tail,M-N,alpha_r,89,0.15728757085609016
10,tail,M-N,delta_r,89,0.11520773122025398
