relation_id,relation_name,mapping_type,train_frequency,log_train_frequency,test_support,head_support,tail_support,eligible_support,hits_r,alpha_r,delta_r
0,/location/country/form_of_government,M-N,298,5.700443573390686,43,43,43,67,0.6445182817322868,0.28358209133148193,0.1791044776119403
1,/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor,1-N,1272,7.149131598557407,91,91,91,72,0.23940346283572062,0.625,0.3055555555555556
2,/media_common/netflix_genre/titles,M-N,2671,7.890582534656536,124,124,124,144,0.4879032245704106,0.3333333432674408,0.1875
3,/award/award_winner/awards_won./award/award_honor/award_winner,M-N,8423,9.03884005381381,41,41,41,55,0.5975609762328011,0.23636363446712494,0.12727272727272726
4,/soccer/football_team/current_roster./sports/sports_team_roster/position,M-N,2262,7.724446645633537,12,12,12,12,0.5,0.0,0.0
5,/soccer/football_team/current_roster./soccer/football_roster_position/position,M-N,2265,7.725771441587952,10,10,10,10,0.5,0.0,0.0
6,/film/actor/film./film/performance/film,M-N,9494,9.158520623246385,836,836,836,349,0.11508885664599282,0.7134670615196228,0.335243553008596
7,/award/award_category/nominees./award/award_nomination/nominated_for,M-N,9465,9.155461710466193,858,858,858,1058,0.4850149835859026,0.43005672097206116,0.1890359168241966
8,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,M-N,15989,9.679718805828,214,214,214,359,0.760347136429378,0.19498607516288757,0.08913649025069638
9,/music/performance_role/regular_performances./music/group_membership/role,M-N,2655,7.884576510596324,40,40,40,35,0.2464285705770765,0.7142857313156128,0.3142857142857143
10,/award/award_category/winners./award/award_honor/ceremony,M-N,2834,7.949797216161852,323,323,323,619,0.9179566502571106,0.11308562010526657,0.05815831987075929
11,/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium,M-1,1429,7.265429723253953,158,158,158,174,0.5108499016080584,0.09195402264595032,0.05747126436781609
12,/award/award_winning_work/awards_won./award/award_honor/award_winner,M-N,2992,8.004031507852698,24,24,24,29,0.45833333475249155,0.3448275923728943,0.2413793103448276
13,/film/film/release_date_s./film/film_regional_release_date/film_release_region,M-N,12893,9.464517365870565,1447,1447,1447,2202,0.5800671322005135,0.48092642426490784,0.21435059037238874
14,/film/film/language,M-N,2570,7.852050207265889,314,314,314,467,0.616469510963985,0.3276231288909912,0.15845824411134904
15,/location/location/contains,M-N,5201,8.556798446008596,330,330,330,378,0.45800866399492535,0.36243385076522827,0.16137566137566137
16,/organization/organization/headquarters./location/mailing_address/country,M-1,182,5.209486152841421,7,7,7,6,0.4285714328289032,0.0,0.0
17,/people/person/profession,M-N,10945,9.300729371703863,1311,1311,1311,1668,0.5443500110081264,0.2625899314880371,0.11750599520383694
18,/location/statistical_region/religions./location/religion_percentage/religion,M-N,596,6.391917113392602,60,60,60,109,0.7880952443395343,0.26605504751205444,0.14678899082568808
19,/award/award_nominee/award_nominations./award/award_nomination/award,M-N,12157,9.405742668308667,1067,1067,1067,1236,0.44818583130836487,0.44983819127082825,0.19579288025889968
20,/music/genre/artists,M-N,5880,8.679482094459956,664,664,664,832,0.46987952079091755,0.45673078298568726,0.20432692307692307
21,/influence/influence_node/influenced_by,M-N,1908,7.554334823725748,235,235,235,226,0.31094224538121906,0.6548672318458557,0.3141592920353982
22,/education/educational_institution/students_graduates./education/education/student,1-N,2640,7.878912912297132,311,311,311,174,0.1635277909891946,0.7126436829566956,0.3103448275862069
23,/organization/organization_member/member_of./organization/organization_membership/organization,M-N,797,6.682108597449809,96,96,96,177,0.8422619019235883,0.16384181380271912,0.0903954802259887
24,/people/person/place_of_birth,M-1,2465,7.81035268372429,170,170,170,87,0.18193277716636658,0.5517241358757019,0.26436781609195403
25,/common/topic/webpage./common/webpage/category,M-1,3612,8.19229373114764,402,402,402,418,0.5076403617858887,0.031100478023290634,0.019138755980861243
26,/film/film/other_crew./film/film_crew_gig/film_crew_role,M-N,5305,8.576593534697684,606,606,606,767,0.5410183923585075,0.24250325560569763,0.1121251629726206
27,/award/award_ceremony/awards_presented./award/award_honor/award_winner,M-N,2727,7.911324018963352,317,317,317,383,0.46597567200660706,0.4647519588470459,0.22193211488250653
28,/film/film/country,M-1,2407,7.786551806428712,131,131,131,137,0.48364231841904776,0.131386861205101,0.06569343065693431
