relation_id,relation_name,train_frequency,log_train_frequency
0,/location/country/form_of_government,298,5.700443573390686
1,/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor,1272,7.149131598557407
2,/media_common/netflix_genre/titles,2671,7.890582534656536
3,/award/award_winner/awards_won./award/award_honor/award_winner,8423,9.03884005381381
4,/soccer/football_team/current_roster./sports/sports_team_roster/position,2262,7.724446645633537
5,/soccer/football_team/current_roster./soccer/football_roster_position/position,2265,7.725771441587952
6,/film/actor/film./film/performance/film,9494,9.158520623246385
7,/award/award_category/nominees./award/award_nomination/nominated_for,9465,9.155461710466193
8,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,15989,9.679718805828
9,/music/performance_role/regular_performances./music/group_membership/role,2655,7.884576510596324
10,/award/award_category/winners./award/award_honor/ceremony,2834,7.949797216161852
11,/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium,1429,7.265429723253953
12,/award/award_winning_work/awards_won./award/award_honor/award_winner,2992,8.004031507852698
13,/film/film/release_date_s./film/film_regional_release_date/film_release_region,12893,9.464517365870565
14,/film/film/language,2570,7.852050207265889
15,/location/location/contains,5201,8.556798446008596
16,/organization/organization/headquarters./location/mailing_address/country,182,5.209486152841421
17,/people/person/profession,10945,9.300729371703863
18,/location/statistical_region/religions./location/religion_percentage/religion,596,6.391917113392602
19,/award/award_nominee/award_nominations./award/award_nomination/award,12157,9.405742668308667
20,/music/genre/artists,5880,8.679482094459956
21,/influence/influence_node/influenced_by,1908,7.554334823725748
22,/education/educational_institution/students_graduates./education/education/student,2640,7.878912912297132
23,/organization/organization_member/member_of./organization/organization_membership/organization,797,6.682108597449809
24,/people/person/place_of_birth,2465,7.81035268372429
25,/common/topic/webpage./common/webpage/category,3612,8.19229373114764
26,/film/film/other_crew./film/film_crew_gig/film_crew_role,5305,8.576593534697684
27,/award/award_ceremony/awards_presented./award/award_honor/award_winner,2727,7.911324018963352
28,/film/film/country,2407,7.786551806428712
29,/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country,2130,7.664346632098617
30,/award/award_winning_work/awards_won./award/award_honor/award,3310,8.105005537547246
31,/film/film/genre,7268,8.891374009484636
32,/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film,2337,7.757051142032013
33,/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency,373,5.924255797414532
34,/film/film/estimated_budget./measurement_unit/dated_money_value/currency,1210,7.099201743553092
35,/government/legislative_session/members./government/government_position_held/district_represented,1070,6.976348070447749
36,/sports/sports_team/roster./american_football/football_historical_roster_position/position_s,622,6.434546518787453
37,/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office,760,6.634633357861686
38,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,6277,8.744806737401898
39,/people/deceased_person/place_of_death,695,6.54534966033442
40,/sports/pro_athlete/teams./sports/sports_team_roster/team,676,6.517671272912275
41,/music/artist/track_contributions./music/track_contribution/role,1772,7.480428306074208
42,/music/instrument/instrumentalists,1938,7.569927655242652
