threshold,bucket,n,inverse_strength_mean,test_support_mean,train_support_mean,hits_r_mean,hits_r_median,alpha_r_mean,alpha_r_median,delta_r_mean,delta_r_median
0,zero,97,0.0,66.5360824742268,619.6185567010309,0.6323670958753048,0.5762987009116581,0.24854408377660034,0.21959791332483292,0.14754347842149543,0.12613636363636363
0,"(0,0.1]",50,0.021541209716944478,155.88,1536.4,0.4869926084790911,0.5233976649386543,0.41581210007472913,0.375,0.22782988788080658,0.21428571428571427
0,"(0.1,0.3]",26,0.1902428994582559,122.61538461538461,1490.0,0.3965352927590464,0.40192683679716923,0.4241004851849183,0.396341472864151,0.25588860897973836,0.2222222222222222
0,"(0.3,0.5]",30,0.38803478199216984,81.7,1986.7666666666667,0.4644281460415749,0.4357142874172756,0.43767731537421545,0.4590855985879898,0.26722391606823803,0.2642857142857143
0,"(0.5,1.0]",34,0.7267077724285462,17.029411764705884,1083.7941176470588,0.6228564764772143,0.5895968186003822,0.19919000566005707,0.20000000298023224,0.11961797616712706,0.12727272727272726
5,zero,85,0.0,75.71764705882353,678.964705882353,0.6337441055777193,0.5811688303947449,0.2660712436170262,0.24250325560569763,0.15675294135032447,0.13333333333333333
5,"(0,0.1]",49,0.021572662976473957,159.0,1565.7142857142858,0.4765230698766236,0.5208212988717216,0.42447485215961933,0.38750000298023224,0.23257634387832338,0.21428571428571427
5,"(0.1,0.3]",23,0.1865019758168448,138.30434782608697,1639.0434782608695,0.44825728746674814,0.4239631252629416,0.4241004851849183,0.396341472864151,0.25588860897973836,0.2222222222222222
5,"(0.3,0.5]",28,0.3902735301564456,87.35714285714286,2104.8928571428573,0.46890260545270784,0.4357142874172756,0.44036855176091194,0.4590855985879898,0.2648827672159694,0.2642857142857143
5,"(0.5,1.0]",16,0.7096676506940696,34.625,2004.125,0.60440367726343,0.5,0.22581771574914455,0.20000000298023224,0.13794475442780274,0.1303030303030303
10,zero,78,0.0,81.82051282051282,719.3076923076923,0.6479725650760716,0.6016372059072768,0.25647364866036254,0.22607164084911346,0.14517948736894334,0.127992799279928
10,"(0,0.1]",45,0.020628607592137325,172.4,1693.1555555555556,0.479418594543896,0.5259740310055869,0.4232907478104938,0.3812169283628464,0.22165795955557355,0.20742661943319837
10,"(0.1,0.3]",21,0.18483107093602436,150.76190476190476,1783.5238095238096,0.4614295070471407,0.4267040193080902,0.39941164212567465,0.37837839126586914,0.24057641300955476,0.21212121212121213
10,"(0.3,0.5]",26,0.3878605658284288,93.5,2252.5384615384614,0.4788731352149785,0.4455214866570064,0.4357815161347389,0.4590855985879898,0.25448913392489003,0.2602627257799672
10,"(0.5,1.0]",12,0.7146850762665128,43.75,2574.8333333333335,0.616245717874595,0.5,0.20109028493364653,0.16250000149011612,0.11448189479262587,0.11051136363636363
