threshold,mapping_type,bucket,n,inverse_strength_mean,test_support_mean,hits_r_mean,hits_r_median,alpha_r_mean,alpha_r_median,delta_r_mean,delta_r_median
5,1-1,"(0,0.1]",3,0.03637387030844972,36.666666666666664,0.43765598748411455,0.26984127717358725,0.5231481393178304,0.625,0.2962962962962963,0.3888888888888889
5,1-1,"(0.1,0.3]",3,0.13710514817385047,11.666666666666666,0.588775504912649,0.699999988079071,0.31313132246335346,0.27272728085517883,0.1818181818181818,0.21212121212121213
5,1-1,"(0.3,0.5]",1,0.4014084507042254,11.0,0.29220779878752573,0.29220779878752573,0.7777777910232544,0.7777777910232544,0.5555555555555556,0.5555555555555556
5,1-1,"(0.5,1.0]",2,0.8026790746117464,13.0,1.0,1.0,0.0,0.0,0.0,0.0
5,1-N,zero,13,0.0,46.76923076923077,0.5477835935550731,0.5423280426434108,0.2304293645115999,0.1818181872367859,0.1356673709127617,0.12121212121212122
5,1-N,"(0,0.1]",6,0.022293810442126093,76.66666666666667,0.3469734305427188,0.30751391393797733,0.5005034555991491,0.5492063760757446,0.2824285030103995,0.2801724137931034
5,1-N,"(0.1,0.3]",5,0.1748763859087668,23.0,0.47830719607216976,0.4065933993884495,0.368696528673172,0.34090909361839294,0.2503029645840316,0.2222222222222222
5,1-N,"(0.3,0.5]",2,0.3483788923788814,55.0,0.273837071444307,0.273837071444307,0.5477941185235977,0.5477941185235977,0.32924836601307195,0.32924836601307195
5,M-1,zero,31,0.0,81.19354838709677,0.5925546435441839,0.5470383337565831,0.20665340546158054,0.16363635659217834,0.12053385257526611,0.1111111111111111
5,M-1,"(0,0.1]",19,0.018497624916704463,69.94736842105263,0.4860407395246334,0.5208212988717216,0.3717081186018492,0.3214285671710968,0.2230888869112672,0.21052631578947367
5,M-1,"(0.1,0.3]",4,0.20287019528467792,35.25,0.4019841732723372,0.4106116997344153,0.44119369983673096,0.4343354403972626,0.2512355129048167,0.23299050632911392
5,M-1,"(0.3,0.5]",12,0.4018336091463554,35.333333333333336,0.40157932078554515,0.4047619104385376,0.4852166970570882,0.44488105177879333,0.32324635176713806,0.3143939393939394
5,M-1,"(0.5,1.0]",6,0.6730715381777133,12.666666666666666,0.5448894571690333,0.48405612153666355,0.2858695685863495,0.30000000447034836,0.1905797101449275,0.2
5,M-N,zero,41,0.0,80.7560975609756,0.6921431294639143,0.6587301662990025,0.322298009743596,0.28358209133148193,0.19082377470922993,0.175
5,M-N,"(0,0.1]",21,0.02203433994532064,280.57142857142856,0.5104784679656126,0.5508100049836295,0.4369936749339104,0.4033898264169693,0.21707578739470784,0.19497849734378953
5,M-N,"(0.1,0.3]",11,0.1993061171439394,262.72727272727275,0.4131016748679148,0.4267040193080902,0.4733327044682069,0.43005672097206116,0.28032059877636467,0.24324324324324326
5,M-N,"(0.3,0.5]",13,0.3851914845509403,146.23076923076923,0.5746491662748567,0.45812807764325825,0.3564886966576943,0.44983819127082825,0.17874684409690664,0.2
5,M-N,"(0.5,1.0]",8,0.7138618791019176,56.5,0.5501402616500853,0.5,0.237233255058527,0.2181818187236786,0.1329547262469098,0.1303030303030303
10,1-1,"(0,0.1]",2,0.021714090134207425,50.5,0.5215633426393781,0.5215633426393781,0.4722222089767456,0.4722222089767456,0.19444444444444445,0.19444444444444445
10,1-1,"(0.1,0.3]",2,0.1255050505050505,14.0,0.7607142754963466,0.7607142754963466,0.13636364042758942,0.13636364042758942,0.10606060606060606,0.10606060606060606
10,1-1,"(0.3,0.5]",1,0.4014084507042254,11.0,0.29220779878752573,0.29220779878752573,0.7777777910232544,0.7777777910232544,0.5555555555555556,0.5555555555555556
10,1-1,"(0.5,1.0]",2,0.8026790746117464,13.0,1.0,1.0,0.0,0.0,0.0,0.0
10,1-N,zero,11,0.0,54.09090909090909,0.5426728191313805,0.5423280426434108,0.207931672307578,0.15625,0.11740487269488002,0.07692307692307693
10,1-N,"(0,0.1]",5,0.02230812808610686,90.6,0.31636811579976765,0.2857142857142857,0.5506041467189788,0.5555555820465088,0.2889142036124795,0.3103448275862069
10,1-N,"(0.1,0.3]",4,0.15664857973109125,26.75,0.5041339950902122,0.46416626232010977,0.28587066382169724,0.28156565874814987,0.1878787057300395,0.19065656565656564
10,1-N,"(0.3,0.5]",2,0.3483788923788814,55.0,0.273837071444307,0.273837071444307,0.5477941185235977,0.5477941185235977,0.32924836601307195,0.32924836601307195
10,M-1,zero,28,0.0,89.07142857142857,0.6070063596173209,0.5509821474552155,0.2039932551394616,0.18951048702001572,0.11757517804960017,0.10896960711638251
10,M-1,"(0,0.1]",18,0.017742739551114366,73.33333333333333,0.49187898127332563,0.5282677922930037,0.37152523630195194,0.31860901415348053,0.2146493806285598,0.19617224880382775
10,M-1,"(0.1,0.3]",4,0.20287019528467792,35.25,0.4019841732723372,0.4106116997344153,0.44119369983673096,0.4343354403972626,0.2512355129048167,0.23299050632911392
10,M-1,"(0.3,0.5]",10,0.3978719176914935,40.9,0.41403804123401644,0.4495798349380493,0.4822600334882736,0.44488105177879333,0.3078956221205657,0.28106060606060607
10,M-1,"(0.5,1.0]",3,0.649210591718024,18.333333333333332,0.6169897928124382,0.49489795735904146,0.23840579390525818,0.20000000298023224,0.14782608695652175,0.2
10,M-N,zero,39,0.0,84.43589743589743,0.7070841281077801,0.6973975556237357,0.30784320656974345,0.26923078298568726,0.17283183153192547,0.16666666666666666
10,M-N,"(0,0.1]",20,0.022697460451358606,294.2,0.5047523913638933,0.5475800079958779,0.4336775525620109,0.4000000059604645,0.21346323485157215,0.1865671641791045
10,M-N,"(0.1,0.3]",11,0.1993061171439394,262.72727272727275,0.4131016748679148,0.4267040193080902,0.4733327044682069,0.43005672097206116,0.28032059877636467,0.24324324324324326
10,M-N,"(0.3,0.5]",13,0.3851914845509403,146.23076923076923,0.5746491662748567,0.45812807764325825,0.3564886966576943,0.44983819127082825,0.17874684409690664,0.2
10,M-N,"(0.5,1.0]",7,0.7176044272600842,63.42857142857143,0.5062827480082609,0.5,0.24255229106971196,0.23636363446712494,0.1329006395202779,0.12727272727272726
